station,boardings_all,alightings_all,throughput_all,days_all,boardings_weekday,alightings_weekday,throughput_weekday,days_weekday,boardings_weekend,alightings_weekend,throughput_weekend,days_weekend,boarding_share,weekend_ratio,first_active,active_days,growth_ratio,opened_mid_window,low_coverage,is_mature
Sri Sathya Sai Hospital,8765.041666666666,8484.395833333334,17249.4375,48,11614.941176470587,11283.323529411764,22898.264705882353,34,1843.857142857143,1687.0,3530.8571428571427,14,0.507241108689202,0.15419758607079506,2025-08-01,48,1.0287309479175157,False,False,True
Sandal Soap Factory,11751.6875,10875.270833333334,22626.958333333332,48,11293.20588235294,10647.29411764706,21940.5,34,12865.142857142857,11428.92857142857,24294.071428571428,14,0.5147196227229526,1.107270637796378,2025-08-01,48,1.0566932156223012,False,False,True
"Sri Balagangadharanatha Swamiji Station, Hosahalli",9775.479166666666,8399.020833333334,18174.5,48,11108.64705882353,9520.970588235294,20629.617647058825,34,6537.785714285715,5674.285714285715,12212.07142857143,14,0.5384805113151138,0.5919678996237969,2025-08-01,48,1.0362136279926337,False,False,True
Nagasandra,10726.583333333334,8851.520833333334,19578.104166666668,48,10861.20588235294,8962.823529411764,19824.029411764706,34,10399.642857142857,8581.214285714286,18980.85714285714,14,0.5478808398007765,0.9574671601119005,2025-08-01,48,1.0158954480605131,False,False,True
Jaya Prakash Nagar,9998.375,9936.979166666666,19935.354166666668,48,10656.29411764706,10532.441176470587,21188.735294117647,34,8400.57142857143,8490.857142857143,16891.428571428572,14,0.5029226128755985,0.7971890883038177,2025-08-01,48,0.99009170737138,False,False,True
Seetharampalya,8840.354166666666,8384.375,17224.729166666668,48,10320.176470588236,9910.676470588236,20230.852941176472,34,5246.5,4677.642857142857,9924.142857142857,14,0.5101206805563431,0.490544955568529,2025-08-01,48,0.9914598851829008,False,False,True
Yelachenahalli,9484.6875,9232.0,18716.6875,48,10315.088235294117,10037.764705882353,20352.852941176472,34,7468.0,7275.142857142857,14743.142857142857,14,0.5068128908073302,0.7243772113793225,2025-08-01,48,1.0212518802031365,False,False,True
Krishna Rajendra Market,9732.9375,9588.020833333334,19320.958333333332,48,10271.588235294117,10185.676470588236,20457.264705882353,34,8424.785714285714,8136.571428571428,16561.35714285714,14,0.5020997862114278,0.8095587255169568,2025-08-01,48,1.067137676252389,False,False,True
Swami Vivekananda Road,8790.0,8930.895833333334,17720.895833333332,48,10142.676470588236,10491.735294117647,20634.41176470588,34,5504.928571428572,5140.285714285715,10645.214285714286,14,0.491541827615206,0.5158961838651678,2025-08-01,48,0.9985515249001673,False,False,True
Halasuru,9009.520833333334,8739.708333333334,17749.229166666668,48,9939.5,9641.058823529413,19580.558823529413,34,6751.0,6550.714285714285,13301.714285714286,14,0.5076208544189239,0.67933272005138,2025-08-01,48,0.9946465062431529,False,False,True
