station_id,name,phase,Line,confidence,position_source,is_mature,boardings_all,alightings_all,throughput_all,boardings_weekday,alightings_weekday,throughput_weekday,boardings_weekend,alightings_weekend,throughput_weekend,catchment_area_km2,population,population_density,built_volume,built_volume_density,built_surface,built_surface_density,population_2030,population_core400,core_share,intersection_count,intersection_density,street_length_km,street_density,circuity,pnr,network_catchment_km2,poi_education,poi_healthcare,poi_retail,poi_office,poi_government,poi_transport,poi_leisure,poi_total,dist_cbd_km,dist_nearest_centre_km,bus_stops_500m,parking_area_m2,competing_rail_1km,metro_betweenness,metro_degree,metro_closeness,is_interchange,is_terminal,city,poi_total_pctl,poi_education_pctl,poi_healthcare_pctl,poi_retail_pctl,poi_office_pctl,poi_government_pctl,poi_transport_pctl,poi_leisure_pctl,bus_stops_500m_pctl,parking_area_m2_pctl
BLR010,Mysore Road,operational,Purple Line,high,osm,True,6367.729166666667,5632.958333333333,12000.6875,7483.823529411765,6608.588235294118,14092.411764705885,3657.214285714286,3263.5714285714284,6920.785714285715,2.007391033949461,19917.69195437897,9922.178398491555,9345373.0,4655482.086922225,849462.0,423167.17850867234,21588.979344253894,1784.8713538646698,0.089612358598219,534,266.01692991991524,116.4686187913582,58.0198958855619,1.0032491216581239,0.19693789397084174,0.39596713018383495,2,3.0,8.0,1.0,0.0,2.0,4.0,20.0,8.91341677494203,5.564329257251211,8,11805.734192521722,0,0.15808491418247517,2,6.232624587973264e-05,0,0,bengaluru,0.12650602409638553,0.1746987951807229,0.3313253012048193,0.18674698795180722,0.1927710843373494,0.41566265060240964,0.6686746987951807,0.30120481927710846,0.6867469879518072,0.8554216867469879
BLR011,Deepanjali Nagar,operational,Purple Line,high,osm,True,4435.625,5346.083333333333,9781.708333333334,4726.117647058823,5651.823529411765,10377.941176470587,3730.142857142857,4603.571428571428,8333.714285714286,2.007391033949461,102769.9430590272,51195.77666780321,10619949.0,5290423.649599389,969422.0,482926.33752214245,113299.22613174468,25167.705330371857,0.24489363894963406,686,341.7371047285802,138.44886951763894,68.96955659169522,1.0029474773759666,0.4395281555906131,0.8837237917755786,2,5.0,37.0,5.0,0.0,5.0,5.0,59.0,8.011919688314523,4.614710305441061,7,0.0,1,0.1782595603733815,2,6.549555183353583e-05,0,0,bengaluru,0.5481927710843374,0.1746987951807229,0.5,0.6445783132530121,0.4036144578313253,0.41566265060240964,0.9759036144578314,0.39156626506024095,0.608433734939759,0.13253012048192772
BLR012,Attiguppe,operational,Purple Line,high,osm,True,8422.604166666666,8076.895833333333,16499.5,9310.117647058823,8929.117647058823,18239.235294117647,6267.214285714285,6007.214285714285,12274.42857142857,2.007391033949461,144602.85884094238,72035.2220346636,10411904.0,5186784.151125253,993893.0,495116.7875072927,159762.0322265625,33953.79438781738,0.2348072137713768,702,349.70764944528185,154.04382470028222,76.73832456908367,1.0029936070666432,0.4835403481717436,0.9722155555395843,9,22.0,99.0,20.0,0.0,5.0,19.0,174.0,8.092349893623899,4.410746303160724,14,0.0,1,0.1978319783197832,2,6.96569521480081e-05,0,0,bengaluru,0.7831325301204819,0.6445783132530121,0.8253012048192772,0.7951807228915663,0.7289156626506024,0.41566265060240964,0.9759036144578314,0.9337349397590361,0.9397590361445783,0.13253012048192772
BLR013,Vijayanagar,operational,Purple Line,high,osm,True,11564.291666666666,12687.041666666666,24251.33333333333,12763.058823529413,14059.14705882353,26822.20588235294,8653.0,9354.785714285714,18007.785714285714,2.007391033949461,136112.59210968018,67805.71886977303,9799977.0,4881947.181321688,989671.0,493013.5600201731,150381.70454406738,32083.052490234375,0.2357096576662187,764,380.59351022250047,160.64953459802632,80.02901870192915,1.0033082492464023,0.5343339167832734,1.0743420848193224,17,56.0,115.0,17.0,0.0,2.0,23.0,230.0,7.550930361600196,3.7340939507401005,8,0.0,0,0.21680216802168023,2,7.395402041690378e-05,0,0,bengaluru,0.9156626506024096,0.8554216867469879,1.0,0.8554216867469879,0.6566265060240963,0.41566265060240964,0.6686746987951807,0.9939759036144579,0.6867469879518072,0.13253012048192772
BLR014,"Sri Balagangadharanatha Swamiji Station, Hosahalli",operational,Purple Line,high,osm,True,9775.479166666666,8399.020833333334,18174.5,11108.64705882353,9520.970588235294,20629.617647058825,6537.785714285715,5674.285714285715,12212.07142857143,2.007391033949461,145551.49153900146,72507.79199338894,11236331.0,5597479.917947511,1010149.0,503214.8609394615,160810.11254882812,39726.62576293945,0.27293863733642637,724,360.6671484307465,158.47514883295975,78.94582876619025,1.0021259427327807,0.6007396749444087,1.2078587836961758,10,38.0,37.0,11.0,0.0,1.0,12.0,109.0,6.642934457786049,2.8002406929756543,8,0.0,0,0.23517012947907256,2,7.810246630172373e-05,0,0,bengaluru,0.6626506024096386,0.6987951807228916,0.963855421686747,0.6445783132530121,0.536144578313253,0.41566265060240964,0.29518072289156627,0.8192771084337349,0.6867469879518072,0.13253012048192772
BLR015,Rajajinagar,operational,Green Line,high,osm,True,10949.958333333334,11581.916666666666,22531.875,11714.70588235294,12387.970588235294,24102.676470588234,9092.714285714286,9624.357142857143,18717.071428571428,2.007391033949461,134744.57054138184,67124.22655205215,10692031.0,5326331.949866219,998012.0,497168.7046127986,148870.2688331604,29028.285438537598,0.21543194892311174,777,387.0695778048205,161.92842425411416,80.66610915140261,1.0035510664874956,0.5686683026411404,1.143375463620342,22,35.0,227.0,49.0,0.0,1.0,19.0,353.0,6.788891363579878,3.531902070318099,11,1435.3439960240394,0,0.2529358626919603,2,7.178894999751201e-05,0,0,bengaluru,0.9759036144578314,0.9397590361445783,0.9397590361445783,0.9759036144578314,0.9397590361445783,0.41566265060240964,0.29518072289156627,0.9337349397590361,0.8313253012048193,0.40963855421686746
BLR016,Mahalakshmi,operational,Green Line,high,osm,True,10007.083333333334,10354.520833333334,20361.604166666668,9462.79411764706,9698.441176470587,19161.235294117647,11328.92857142857,11947.857142857143,23276.785714285717,2.007391033949461,143452.34717559814,71462.08424243153,11570754.0,5764075.760184605,882847.0,439798.218219115,158490.90895080566,31880.58600616455,0.2222381622458916,683,340.2426275941987,135.20640703354266,67.35429457783792,1.0033757079482557,0.45845643388071267,0.9217813533891979,15,24.0,208.0,35.0,0.0,1.0,23.0,306.0,7.247736056527146,4.242848806703327,12,8418.658823332327,0,0.23517012947907256,2,6.881114160662293e-05,0,0,bengaluru,0.963855421686747,0.8072289156626506,0.8554216867469879,0.963855421686747,0.8614457831325302,0.41566265060240964,0.29518072289156627,0.9939759036144579,0.8855421686746988,0.7469879518072289
BLR017,Sandal Soap Factory,operational,Green Line,high,osm,True,11751.6875,10875.270833333334,22626.95833333333,11293.20588235294,10647.29411764706,21940.5,12865.142857142857,11428.92857142857,24294.071428571428,2.007391033949461,123875.39016962051,61709.64604036348,12023056.0,5989394.092462952,730040.0,363676.0290613013,136861.6376504898,23630.117128372192,0.19075715600988918,539,268.5077251438845,110.96461526948885,55.27802674856549,1.0034482369643865,0.27650154407859096,0.5559393405334628,8,8.0,140.0,17.0,1.0,2.0,22.0,198.0,7.180356382448615,4.60254410445475,9,9975.103417236398,0,0.21680216802168023,2,6.570897172845107e-05,0,0,bengaluru,0.8433734939759037,0.572289156626506,0.6445783132530121,0.9156626506024096,0.6566265060240963,0.8855421686746988,0.6686746987951807,0.9759036144578314,0.7409638554216867,0.8072289156626506
BLR018,Yeshwantpur,operational,Green Line,high,osm,True,13878.9375,14604.666666666666,28483.604166666668,13892.5,14667.941176470587,28560.441176470587,13846.0,14451.0,28297.0,2.007391033949461,96013.41492462158,47829.95106624495,10976027.0,5467807.125951493,962747.0,479601.1258981435,106078.80480098724,17021.91767692566,0.17728686861402923,450,224.17157015723194,106.26771351329957,52.938222656211686,1.0030409745487998,0.21867984416452133,0.43968191482586944,4,2.0,33.0,5.0,0.0,3.0,6.0,53.0,8.125368474926445,5.654991005825199,11,8824.637213789618,1,0.1978319783197832,2,6.239353304555535e-05,0,0,bengaluru,0.5060240963855421,0.3192771084337349,0.18674698795180722,0.5662650602409639,0.4036144578313253,0.41566265060240964,0.8373493975903614,0.4759036144578313,0.8313253012048193,0.7590361445783133
BLR019,Goraguntepalya,operational,Green Line,high,osm,True,7663.4375,6744.041666666667,14407.479166666666,8042.705882352941,7242.588235294118,15285.29411764706,6742.357142857143,5533.285714285715,12275.642857142857,2.007391033949461,81073.03899403661,40387.26766380373,10260721.0,5111470.972256185,672426.0,334975.0938545485,89453.36070602387,26976.20333480835,0.33273951081064823,302,150.4440315277423,76.91515439661306,38.31597984438816,1.0028586549882195,0.2969760771379389,0.5971058318262173,3,6.0,15.0,6.0,0.0,0.0,5.0,35.0,9.240190369978594,6.606875619415245,11,4405.689129751804,0,0.1782595603733815,2,5.908727144540495e-05,0,0,bengaluru,0.3132530120481928,0.2469879518072289,0.5783132530120482,0.3433734939759036,0.43373493975903615,0.41566265060240964,0.012048192771084338,0.39156626506024095,0.8313253012048193,0.5662650602409639
